                                  « Greek »

                 0                   1                   2     
                 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2 3
               Φ│Φ Χ Ψ Ω Α Β Γ Δ Ε Ζ Η Θ Ι Κ Λ Μ Ν Ξ Ο Π Ρ Σ Τ Υ 
               Χ│Χ Ψ Ω Α Β Γ Δ Ε Ζ Η Θ Ι Κ Λ Μ Ν Ξ Ο Π Ρ Σ Τ Υ Φ 
               Ψ│Ψ Ω Α Β Γ Δ Ε Ζ Η Θ Ι Κ Λ Μ Ν Ξ Ο Π Ρ Σ Τ Υ Φ Χ 
               Ω│Ω Α Β Γ Δ Ε Ζ Η Θ Ι Κ Λ Μ Ν Ξ Ο Π Ρ Σ Τ Υ Φ Χ Ψ

                                  « Greek »
                                (with Space)                                      
                Α Β Γ Δ Ε Ζ Η Θ Ι Κ Λ Μ Ν Ξ Ο Π Ρ Σ Τ Υ Φ Χ Ψ Ω   
               ┌─────────────────────────────────────────────────
              Α│Α Β Γ Δ Ε Ζ Η Θ Ι Κ Λ Μ Ν Ξ Ο Π Ρ Σ Τ Υ Φ Χ Ψ Ω   
              Β│Β Γ Δ Ε Ζ Η Θ Ι Κ Λ Μ Ν Ξ Ο Π Ρ Σ Τ Υ Φ Χ Ψ Ω   Α 
              Γ│Γ Δ Ε Ζ Η Θ Ι Κ Λ Μ Ν Ξ Ο Π Ρ Σ Τ Υ Φ Χ Ψ Ω   Α Β 
              Δ│Δ Ε Ζ Η Θ Ι Κ Λ Μ Ν Ξ Ο Π Ρ Σ Τ Υ Φ Χ Ψ Ω   Α Β Γ 
              Ε│Ε Ζ Η Θ Ι Κ Λ Μ Ν Ξ Ο Π Ρ Σ Τ Υ Φ Χ Ψ Ω   Α Β Γ Δ 
              Ζ│Ζ Η Θ Ι Κ Λ Μ Ν Ξ Ο Π Ρ Σ Τ Υ Φ Χ Ψ Ω   Α Β Γ Δ Ε 
              Η│Η Θ Ι Κ Λ Μ Ν Ξ Ο Π Ρ Σ Τ Υ Φ Χ Ψ Ω   Α Β Γ Δ Ε Ζ 
              Θ│Θ Ι Κ Λ Μ Ν Ξ Ο Π Ρ Σ Τ Υ Φ Χ Ψ Ω   Α Β Γ Δ Ε Ζ Η 
              Ι│Ι Κ Λ Μ Ν Ξ Ο Π Ρ Σ Τ Υ Φ Χ Ψ Ω   Α Β Γ Δ Ε Ζ Η Θ 
              Κ│Κ Λ Μ Ν Ξ Ο Π Ρ Σ Τ Υ Φ Χ Ψ Ω   Α Β Γ Δ Ε Ζ Η Θ Ι 
              Λ│Λ Μ Ν Ξ Ο Π Ρ Σ Τ Υ Φ Χ Ψ Ω   Α Β Γ Δ Ε Ζ Η Θ Ι Κ 
              Μ│Μ Ν Ξ Ο Π Ρ Σ Τ Υ Φ Χ Ψ Ω   Α Β Γ Δ Ε Ζ Η Θ Ι Κ Λ 
              Ν│Ν Ξ Ο Π Ρ Σ Τ Υ Φ Χ Ψ Ω   Α Β Γ Δ Ε Ζ Η Θ Ι Κ Λ Μ 
              Ξ│Ξ Ο Π Ρ Σ Τ Υ Φ Χ Ψ Ω   Α Β Γ Δ Ε Ζ Η Θ Ι Κ Λ Μ Ν 
              Ο│Ο Π Ρ Σ Τ Υ Φ Χ Ψ Ω   Α Β Γ Δ Ε Ζ Η Θ Ι Κ Λ Μ Ν Ξ 
              Π│Π Ρ Σ Τ Υ Φ Χ Ψ Ω   Α Β Γ Δ Ε Ζ Η Θ Ι Κ Λ Μ Ν Ξ Ο 
              Ρ│Ρ Σ Τ Υ Φ Χ Ψ Ω   Α Β Γ Δ Ε Ζ Η Θ Ι Κ Λ Μ Ν Ξ Ο Π 
              Σ│Σ Τ Υ Φ Χ Ψ Ω   Α Β Γ Δ Ε Ζ Η Θ Ι Κ Λ Μ Ν Ξ Ο Π Ρ 
              Τ│Τ Υ Φ Χ Ψ Ω   Α Β Γ Δ Ε Ζ Η Θ Ι Κ Λ Μ Ν Ξ Ο Π Ρ Σ 
              Υ│Υ Φ Χ Ψ Ω   Α Β Γ Δ Ε Ζ Η Θ Ι Κ Λ Μ Ν Ξ Ο Π Ρ Σ Τ 
              Φ│Φ Χ Ψ Ω   Α Β Γ Δ Ε Ζ Η Θ Ι Κ Λ Μ Ν Ξ Ο Π Ρ Σ Τ Υ 
              Χ│Χ Ψ Ω   Α Β Γ Δ Ε Ζ Η Θ Ι Κ Λ Μ Ν Ξ Ο Π Ρ Σ Τ Υ Φ 
              Ψ│Ψ Ω   Α Β Γ Δ Ε Ζ Η Θ Ι Κ Λ Μ Ν Ξ Ο Π Ρ Σ Τ Υ Φ Χ 
              Ω│Ω   Α Β Γ Δ Ε Ζ Η Θ Ι Κ Λ Μ Ν Ξ Ο Π Ρ Σ Τ Υ Φ Χ Ψ 
               │  Α Β Γ Δ Ε Ζ Η Θ Ι Κ Λ Μ Ν Ξ Ο Π Ρ Σ Τ Υ Φ Χ Ψ Ω               
